trade_date,next_trade_date,open_915,high_day,low_day,close_1515,volume_day,ma10,ma20,ma50,ma90,ma5d_slope,ma10d_slope,ma20_slope,ma50_slope,rsi14,atr14,bb_upper,bb_middle,bb_lower,bb_width,ret_5d,ret_10d,ret_20d,ret_60d,volatility_10d,volatility_20d,volume_10d,volume_20d,trend_efficiency_5d,trend_efficiency_10d,trend_efficiency_20d,recent_high_5d,recent_low_5d,recent_high_10d,recent_low_10d,recent_high_20d,recent_low_20d,range_position_5d,range_position_10d,selected_regime,hindsight_regime,expected_regime_lag2,strategy_MaTrend_001_signal,strategy_RsiMeanReversion_6040_signal,strategy_expectedTrendDown_HighVolBreak_Put_signal,strategy_expectedTrendDown_RSIWeakness_Put_signal,strategy_expectedTrendDown_RallyFailing_Put_signal,strategy_expectedTrendDown_RangeReject_Put_signal,strategy_expectedTrendUp_DipStabilizing_Call_signal,strategy_expectedTrendUp_RSIRecovery_Call_signal,strategy_expectedTrendUp_RangeRecovery_Call_signal,strategy_trendUpRangeBreakout_signal,final_raw_signal,next_open,next_high,next_low,next_close,next_return_pct,actual_trade_label
2026-01-08,2026-01-09,26106.5,26133.2,25858.45,25876.85,106366,26097.455,26044.98,25970.553,25610.9822,0.004422,0.001926,0.001917,0.001016,44.1007,177.7226,26337.0007,26044.98,25752.9593,0.022424,-0.010315,-0.010146,0.004614,0.025746,0.005191,0.004907,71325.9,64407.9,0.425596,0.253913,0.060587,26373.2,26067.9,26373.2,25878.0,26373.2,25693.25,-0.625778,-0.002322,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,PUT,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25840.4,25940.6,25623.0,25683.3,-0.748,PUT
2026-02-18,2026-02-19,25752.65,25828.05,25645.15,25819.35,58126,25759.86,25530.6125,25753.016,25791.7628,-0.004547,0.00691,0.002297,-0.001313,53.9073,284.4642,26166.2052,25530.6125,24895.0198,0.049791,-0.005182,0.001682,0.026308,-0.005399,0.006412,0.009443,66267.7,94569.35,0.161853,0.033993,0.185749,26009.4,25372.7,26009.4,25372.7,26341.2,24571.75,0.701508,0.701508,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,PUT,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25873.35,25885.3,25388.75,25454.35,-1.4137,PUT
2026-02-20,2026-02-23,25406.55,25663.55,25379.75,25571.25,106237,25728.77,25564.965,25741.575,25797.4617,-0.006057,0.001263,0.003807,-0.001184,48.3462,298.4817,26150.3752,25564.965,24979.5548,0.045798,0.003932,-0.004766,0.020863,-0.024195,0.007879,0.009758,71250.7,91145.35,0.120641,0.077842,0.142344,25885.3,25372.7,26009.4,25372.7,26341.2,24571.75,0.387339,0.311842,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25678.4,25771.45,25609.35,25713.0,0.5543,CALL
2026-02-23,2026-02-24,25678.4,25771.45,25609.35,25713.0,123117,25713.34,25591.845,25737.864,25803.7672,-0.004398,-0.001646,0.00467,-0.001056,51.548,291.4658,26152.0643,25591.845,25031.6257,0.043781,0.001178,-0.005965,0.021354,-0.01917,0.007764,0.009769,77200.3,91991.0,0.03979,0.100117,0.145833,25885.3,25372.7,26009.4,25372.7,26341.2,24571.75,0.66387,0.534475,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25641.8,25641.8,25327.6,25424.65,-1.1214,PUT
2026-02-26,2026-02-27,25556.3,25572.95,25400.95,25496.55,60088,25584.09,25607.915,25707.251,25801.3783,-0.003628,-0.006096,0.002705,-0.001478,47.1141,284.5018,26145.9763,25607.915,25069.8537,0.042023,0.001658,-0.012037,0.006947,-0.020576,0.008325,0.009993,83674.6,86091.5,0.068185,0.186213,0.047478,25885.3,25327.6,25906.7,25327.6,26341.2,24571.75,0.302941,0.291746,RANGE,TREND_DOWN,TREND_DOWN,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25459.85,25476.4,25141.3,25178.65,-1.2468,PUT
2026-02-27,2026-03-02,25459.85,25476.4,25141.3,25178.65,91968,25554.845,25625.575,25694.453,25793.995,-0.007468,-0.00676,0.002371,-0.001831,40.6509,289.5446,26075.7593,25625.575,25175.3907,0.035136,-0.015353,-0.011482,0.014227,-0.031069,0.008239,0.009354,83935.2,90689.9,0.478839,0.177237,0.100125,25771.45,25327.6,25885.3,25327.6,26341.2,24571.75,-0.335586,-0.267079,RANGE,TREND_DOWN,TREND_DOWN,PUT,NO_POSITION,NO_POSITION,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,24659.25,24989.35,24603.5,24865.7,-1.2429,PUT
2026-03-02,2026-03-04,24659.25,24989.35,24603.5,24865.7,140871,25473.14,25614.44,25675.456,25782.8517,-0.014307,-0.009341,0.000883,-0.002425,35.4879,309.9368,26124.2836,25614.44,25104.5964,0.039809,-0.032952,-0.031813,-0.008877,-0.044867,0.008211,0.009494,91536.1,90626.15,0.854909,0.466526,0.062248,25771.45,25141.3,25885.3,25141.3,26341.2,24679.4,-0.437356,-0.37043,RANGE,TREND_DOWN,TREND_DOWN,PUT,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,24388.8,24602.45,24305.4,24480.5,-1.5491,PUT
2026-03-04,2026-03-05,24388.8,24602.45,24305.4,24480.5,162303,25348.65,25552.0875,25645.738,25767.175,-0.019367,-0.012222,-0.001713,-0.003097,30.3699,327.8253,26258.4829,25552.0875,24845.6921,0.055291,-0.037135,-0.048392,-0.048471,-0.065146,0.00885,0.007903,101481.5,84770.3,0.867825,0.594537,0.375205,25652.6,24603.5,25885.3,24603.5,26341.2,24603.5,-0.117243,-0.095959,RANGE,RANGE,TREND_DOWN,PUT,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,24615.95,24854.2,24529.4,24765.9,1.1658,CALL
2026-03-05,2026-03-06,24615.95,24854.2,24529.4,24765.9,117425,25243.305,25501.5825,25617.608,25755.7389,-0.022394,-0.014517,-0.00381,-0.003769,37.5545,331.0988,26277.7153,25501.5825,24725.4497,0.060869,-0.028121,-0.040801,-0.039188,-0.046018,0.009998,0.008467,107411.4,86839.55,0.544736,0.460958,0.283688,25652.6,24305.4,25885.3,24305.4,26009.4,24305.4,0.34182,0.291474,RANGE,TREND_DOWN,TREND_DOWN,PUT,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,24656.4,24700.8,24415.75,24450.45,-1.2737,PUT
2026-03-09,2026-03-10,23868.05,24078.15,23697.8,24028.05,175936,24988.595,25358.6825,25540.793,25717.6972,-0.036959,-0.022158,-0.010415,-0.00598,28.8967,362.4718,26437.833,25358.6825,24279.532,0.085111,-0.045697,-0.060349,-0.064827,-0.067162,0.010161,0.009321,113891.9,92571.3,0.668409,0.607248,0.404839,25476.4,24305.4,25771.45,24305.4,26009.4,24305.4,-0.236849,-0.189182,RANGE,TREND_DOWN,TREND_DOWN,PUT,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,24280.8,24303.8,24079.95,24261.6,0.972,CALL
