tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
SUPREMEIND,NSE,SUPREME INDUSTRIES,860929,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
TATACHEM,NSE,TATA CHEMICALS,871681,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
TATAELXSI,NSE,TATA ELXSI,873217,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
HONAUT,NSE,HONEYWELL AUTOMATION IND,874753,NSE,5.0,1,STOCK,Capital Goods,Capital Goods,0,1
TATAPOWER,NSE,TATA POWER CO,877057,NSE,0.05,1,STOCK,Power,Power,1,1
TATACONSUM,NSE,TATA CONSUMER PRODUCT,878593,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
TMPV,NSE,TATA MOTORS PASS VEH,884737,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
THERMAX,NSE,THERMAX,889601,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
TATASTEEL,NSE,TATA STEEL,895745,NSE,0.01,1,STOCK,Metals & Mining,Metals & Mining,1,1
TITAN,NSE,TITAN COMPANY,897537,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TORNTPHARM,NSE,TORRENT PHARMACEUTICALS L,900609,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
ADANIGREEN,NSE,ADANI GREEN ENERGY,912129,NSE,0.1,1,STOCK,Power,Power,1,1
JUBLPHARMA,NSE,JUBILANT PHARMOVA,931073,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
VOLTAS,NSE,VOLTAS,951809,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TATACOMM,NSE,TATA COMMUNICATIONS,952577,NSE,0.1,1,STOCK,Telecommunication,Telecommunication,0,1
RITES,NSE,RITES,962817,NSE,0.01,1,STOCK,Construction,Construction,0,1
WIPRO,NSE,WIPRO,969473,NSE,0.01,1,STOCK,Information Technology,Information Technology,1,1
ZEEL,NSE,ZEE ENTERTAINMENT ENT,975873,NSE,0.01,1,STOCK,Media Entertainment & Publication,Media Entertainment & Publication,0,1
CAPLIPOINT,NSE,CAPLIN POINT LAB,999937,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
NATCOPHARM,NSE,NATCO PHARMA,1003009,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
NAVA,NSE,NAVA,1027585,NSE,0.05,1,STOCK,Power,Power,0,1
MARICO,NSE,MARICO,1041153,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
MOTHERSON,NSE,SAMVRDHNA MTHRSN INTL,1076225,NSE,0.01,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
HDFCAMC,NSE,HDFC AMC,1086465,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SHRIRAMFIN,NSE,SHRIRAM FINANCE,1102337,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
CREDITACC,NSE,CREDITACCESS GRAMEEN,1131777,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
MPHASIS,NSE,MPHASIS,1152769,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
BANKBARODA,NSE,BANK OF BARODA,1195009,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
SONACOMS,NSE,SONA BLW PRECISION FRGS L,1199105,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
SHYAMMETL,NSE,SHYAM METALICS AND ENGY L,1201409,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
GAIL,NSE,GAIL (INDIA),1207553,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
BANKINDIA,NSE,BANK OF INDIA,1214721,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
CONCOR,NSE,CONTAINER CORP OF IND,1215745,NSE,0.05,1,STOCK,Services,Services,1,1
KIMS,NSE,KRISHNA INST OF MED SCI L,1240833,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
SAREGAMA,NSE,SAREGAMA INDIA,1252353,NSE,0.05,1,STOCK,Media Entertainment & Publication,Media Entertainment & Publication,0,1
ENGINERSIN,NSE,ENGINEERS INDIA,1256193,NSE,0.05,1,STOCK,Construction,Construction,0,1
ICICIBANK,NSE,ICICI BANK,1270529,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
IRCON,NSE,IRCON INTERNATIONAL,1276417,NSE,0.01,1,STOCK,Construction,Construction,0,1
CLEAN,NSE,CLEAN SCIENCE & TECH,1292545,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
ETERNAL,NSE,ETERNAL - ZOMATO,1304833,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,1,1
GMDCLTD,NSE,GUJARAT MINERAL DEV CORP,1332225,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,0,1
INDUSINDBK,NSE,INDUSIND BANK,1346049,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
DEVYANI,NSE,DEVYANI INTERNATIONAL,1375489,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,0,1
ASAHIINDIA,NSE,ASAHI INDIA GLASS,1376769,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
AAVAS,NSE,AAVAS FINANCIERS,1378561,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
CARTRADE,NSE,CARTRADE TECH,1384193,NSE,0.1,1,STOCK,Consumer Services,Consumer Services,0,1
NUVOCO,NSE,NUVOCO VISTAS CORP,1389057,NSE,0.05,1,STOCK,Construction Materials,Construction Materials,0,1
APTUS,NSE,APTUS VALUE HSG FIN I,1391361,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
GRSE,NSE,GARDEN REACH SHIP&ENG,1401601,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
ACUTAAS,NSE,ACUTAAS CHEMICALS,1427969,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
VIJAYA,NSE,VIJAYA DIAGNOSTIC CEN,1429761,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
CEMPRO,NSE,CEMINDIA PROJECTS,1439233,NSE,0.05,1,STOCK,Construction,Construction,0,1
J&KBANK,NSE,J & K BANK,1442049,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
CUB,NSE,CITY UNION BANK,1459457,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
CYIENT,NSE,CYIENT,1471489,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
AXISBANK,NSE,AXIS BANK,1510401,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
INTELLECT,NSE,INTELLECT DESIGN ARENA,1517057,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
ABSLAMC,NSE,ADIT BIRL SUN LIF AMC,1540609,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
ATGL,NSE,ADANI TOTAL GAS,1552897,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
NATIONALUM,NSE,NATIONAL ALUMINIUM CO,1629185,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,1,1
TECHNOE,NSE,TECHNO ELEC & ENG CO.,1649921,NSE,0.1,1,STOCK,Construction,Construction,0,1
NYKAA,NSE,FSN E COMMERCE VENTURES,1675521,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,1,1
SONATSOFTW,NSE,SONATA SOFTWARE,1688577,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
POLICYBZR,NSE,PB FINTECH,1703937,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
PAYTM,NSE,ONE 97 COMMUNICATIONS,1716481,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SAPPHIRE,NSE,SAPPHIRE FOODS INDIA,1719809,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,0,1
JINDALSTEL,NSE,JINDAL STEEL,1723649,NSE,0.1,1,STOCK,Metals & Mining,Metals & Mining,1,1
LATENTVIEW,NSE,LATENT VIEW ANALYTICS,1745409,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
BSOFT,NSE,BIRLASOFT,1790465,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
STARHEALTH,NSE,STAR HEALTH & AL INS CO L,1813249,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
TEGA,NSE,TEGA INDUSTRIES,1818881,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
ANANDRATHI,NSE,ANAND RATHI WEALTH,1829121,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
MAPMYINDIA,NSE,C.E. INFO SYSTEMS,1850113,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
HCLTECH,NSE,HCL TECHNOLOGIES,1850625,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
DATAPATTNS,NSE,DATA PATTERNS INDIA,1883649,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
GLENMARK,NSE,GLENMARK PHARMACEUTICALS,1895937,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
WOCKPHARMA,NSE,WOCKHARDT,1921537,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
ZENTEC,NSE,ZEN TECHNOLOGIES,1922049,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
INOXWIND,NSE,INOX WIND,2010113,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,1,1
ZYDUSLIFE,NSE,ZYDUS LIFESCIENCES,2029825,NSE,0.05,1,STOCK,Healthcare,Healthcare,1,1
DALBHARAT,NSE,DALMIA BHARAT,2067201,NSE,0.1,1,STOCK,Construction Materials,Construction Materials,1,1
AWL,NSE,AWL AGRI BUSINESS,2076161,NSE,0.01,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
AJANTPHARM,NSE,AJANTA PHARMA,2079745,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
BLUESTARCO,NSE,BLUE STAR,2127617,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TVSMOTOR,NSE,TVS MOTOR COMPANY,2170625,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
CHALET,NSE,CHALET HOTELS,2187777,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,0,1
NLCINDIA,NSE,NLC INDIA,2197761,NSE,0.05,1,STOCK,Power,Power,0,1
MSUMI,NSE,MOTHERSON SUMI WRNG IND L,2200577,NSE,0.01,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
USHAMART,NSE,USHA MARTIN,2263041,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
CHOICEIN,NSE,CHOICE INTERNATIONAL,2269697,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
TTML,NSE,TATA TELESERV(MAHARASTRA),2292225,NSE,0.01,1,STOCK,Telecommunication,Telecommunication,0,1
IOB,NSE,INDIAN OVERSEAS BANK,2393089,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
RAINBOW,NSE,RAINBOW CHILDRENS MED,2408449,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
LICI,NSE,LIFE INSURA CORP OF INDIA,2426881,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
RVNL,NSE,RAIL VIKAS NIGAM,2445313,NSE,0.05,1,STOCK,Construction,Construction,1,1
POLYCAB,NSE,POLYCAB INDIA,2455041,NSE,0.5,1,STOCK,Capital Goods,Capital Goods,1,1
DELHIVERY,NSE,DELHIVERY,2457345,NSE,0.05,1,STOCK,Services,Services,1,1
SPLPETRO,NSE,SUPREME PETROCHEM,2461953,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
KPITTECH,NSE,KPIT TECHNOLOGIES,2478849,NSE,0.05,1,STOCK,Information Technology,Information Technology,1,1
TRIDENT,NSE,TRIDENT,2479361,NSE,0.01,1,STOCK,Textiles,Textiles,0,1
PARADEEP,NSE,PARADEEP PHOSPHATES,2493697,NSE,0.01,1,STOCK,Chemicals,Chemicals,0,1
HAVELLS,NSE,HAVELLS INDIA,2513665,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
GODREJCP,NSE,GODREJ CONSUMER PRODUCTS,2585345,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
ADANIENSOL,NSE,ADANI ENERGY SOLUTION,2615553,NSE,0.1,1,STOCK,Power,Power,1,1
SYNGENE,NSE,SYNGENE INTERNATIONAL,2622209,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
LUPIN,NSE,LUPIN,2672641,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
UNITDSPR,NSE,UNITED SPIRITS,2674433,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
BHARTIARTL,NSE,BHARTI AIRTEL,2714625,NSE,0.1,1,STOCK,Telecommunication,Telecommunication,1,1
