date,underlying,open,high,low,close,volume,ma10,ma20,ma50,ma90,rsi14,atr14,bb_upper,bb_middle,bb_lower,bb_width,ret_5d,ret_10d,ret_20d,ret_60d,volatility_10d,volatility_20d,volume_10d,volume_20d,trend_efficiency_5d,trend_efficiency_10d,trend_efficiency_20d,trend_efficiency_60d,relative_strength_vs_sector,ma5d_slope,ma10d_slope,ma20_slope,ma50_slope,recent_high_5d,recent_low_5d,recent_high_10d,recent_low_10d,recent_high_20d,recent_low_20d,range_position_5d,range_position_10d,range_position_20d,hindsight_regime,hindsight_regime_lookahead_days,hindsight_regime_forward_return,hindsight_regime_forward_efficiency,hindsight_regime_realized_range,current_regime,current_trend_ret60_015_regime,current_trend_ret60_010_regime,current_trend_eff60_020_regime,current_trend_ma50_flat_ok_regime,current_trend_ma20_slope_only_regime,current_trend_stack_ma10_ma20_regime,current_trend_ret20_eff20_regime,current_trend_ret10_eff10_regime,current_trend_range10_ret5_eff5_regime,current_trend_range20_ret5_ma5_regime,current_trend_ret5_eff5_ma5_regime,current_trend_ret10_range_eff10_regime,hindsight_regime_minus_1d,hindsight_regime_minus_2d,lagged_hindsight_trend_2d,current_exact_match,current_buffer_match,current_lag2_trend_match,current_trend_ret60_015_exact_match,current_trend_ret60_015_buffer_match,current_trend_ret60_015_lag2_trend_match,current_trend_ret60_010_exact_match,current_trend_ret60_010_buffer_match,current_trend_ret60_010_lag2_trend_match,current_trend_eff60_020_exact_match,current_trend_eff60_020_buffer_match,current_trend_eff60_020_lag2_trend_match,current_trend_ma50_flat_ok_exact_match,current_trend_ma50_flat_ok_buffer_match,current_trend_ma50_flat_ok_lag2_trend_match,current_trend_ma20_slope_only_exact_match,current_trend_ma20_slope_only_buffer_match,current_trend_ma20_slope_only_lag2_trend_match,current_trend_stack_ma10_ma20_exact_match,current_trend_stack_ma10_ma20_buffer_match,current_trend_stack_ma10_ma20_lag2_trend_match,current_trend_ret20_eff20_exact_match,current_trend_ret20_eff20_buffer_match,current_trend_ret20_eff20_lag2_trend_match,current_trend_ret10_eff10_exact_match,current_trend_ret10_eff10_buffer_match,current_trend_ret10_eff10_lag2_trend_match,current_trend_range10_ret5_eff5_exact_match,current_trend_range10_ret5_eff5_buffer_match,current_trend_range10_ret5_eff5_lag2_trend_match,current_trend_range20_ret5_ma5_exact_match,current_trend_range20_ret5_ma5_buffer_match,current_trend_range20_ret5_ma5_lag2_trend_match,current_trend_ret5_eff5_ma5_exact_match,current_trend_ret5_eff5_ma5_buffer_match,current_trend_ret5_eff5_ma5_lag2_trend_match,current_trend_ret10_range_eff10_exact_match,current_trend_ret10_range_eff10_buffer_match,current_trend_ret10_range_eff10_lag2_trend_match
2025-01-28,NIFTY,22960.45,23137.95,22857.65,22957.25,323967.0,23133.69,23375.305,23826.47,,37.3585,268.9583,24071.5157,23375.305,22679.0943,0.059568,-0.002927,-0.009441,-0.029078,-0.051563,0.00731,0.008735,229992.8,239207.35,0.098394,0.157297,0.207634,0.128988,,-0.007393,-0.007166,-0.007097,-0.003368,23426.3,22786.9,23426.3,22786.9,24226.7,22786.9,0.266422,0.266422,0.118315,RANGE,10,0.018484,0.295848,0.041366,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False
2025-01-29,NIFTY,23026.75,23183.35,22976.5,23163.1,298123.0,23128.68,23346.315,23820.656,,43.2082,265.897,24026.9975,23346.315,22665.6325,0.058312,0.000335,-0.002158,-0.02442,-0.046957,0.007937,0.00896,245426.1,245327.05,0.010195,0.032122,0.169577,0.116657,,-0.006831,-0.005102,-0.007122,-0.002782,23347.3,22786.9,23426.3,22786.9,24226.7,22786.9,0.671306,0.588364,0.261286,CHOPPY,10,-0.003942,0.059351,0.035867,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,TREND_UP,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
2025-01-30,NIFTY,23169.5,23322.05,23139.2,23249.5,269241.0,23122.45,23299.3575,23815.276,,45.5082,259.965,23860.1405,23299.3575,22738.5745,0.048137,0.001903,-0.002672,-0.038826,-0.031083,0.007906,0.007745,255230.4,241838.05,0.055427,0.040258,0.306937,0.078015,,-0.005539,-0.003994,-0.007969,-0.002226,23347.3,22786.9,23426.3,22786.9,24226.7,22786.9,0.825482,0.723491,0.321295,CHOPPY,10,-0.008785,0.138151,0.043397,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,RANGE,RANGE,RANGE,RANGE,RANGE,CHOPPY,RANGE,,False,True,,False,True,,False,True,,False,True,,False,True,,False,True,,False,True,,False,False,,False,True,,False,True,,False,True,,False,True,,False,True,
2025-01-31,NIFTY,23296.75,23546.8,23277.4,23508.4,88911.0,23152.97,23274.54,23818.446,,51.8069,262.6318,23744.8995,23274.54,22804.1805,0.040418,0.018023,0.013153,-0.020677,-0.029112,0.008482,0.008148,242282.7,233183.4,0.441685,0.179762,0.158338,0.073417,,-0.000992,-0.00122,-0.007502,-0.001431,23347.3,22786.9,23426.3,22786.9,24196.45,22786.9,1.287473,1.128402,0.511865,TREND_DOWN,10,-0.020291,0.386736,0.042919,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,RANGE,RANGE,CHOPPY,CHOPPY,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-01,NIFTY,23528.6,23632.45,23318.3,23482.15,0.0,23166.71,23267.845,23809.944,,51.1612,266.3117,23722.1063,23267.845,22813.5837,0.039046,0.028604,0.005886,-0.00567,-0.040921,0.008338,0.007325,225911.5,214113.7,0.925585,0.086825,0.048299,0.107077,,0.009138,0.000481,-0.006059,-0.001176,23546.8,22786.9,23546.8,22786.9,24089.95,22786.9,0.914923,0.914923,0.533556,TREND_DOWN,10,-0.023546,0.422287,0.043967,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,RANGE,TREND_DOWN,CHOPPY,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-03,NIFTY,23319.35,23381.6,23222.0,23361.05,83636.0,23200.35,23250.5025,23792.727,,48.1779,265.8716,23660.5732,23250.5025,22840.4318,0.035274,0.017589,0.01461,-0.01463,-0.034641,0.007042,0.007335,195431.7,209793.85,0.578096,0.243151,0.123806,0.091187,,0.013232,0.002882,-0.005339,-0.001416,23632.45,22857.65,23632.45,22786.9,23795.2,22786.9,0.649716,0.679025,0.569424,RANGE,10,-0.017189,0.329558,0.04631,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False
2025-02-04,NIFTY,23509.9,23762.75,23423.15,23739.25,137005.0,23258.74,23253.0175,23783.622,,56.6748,275.5736,23674.2778,23253.0175,22831.7572,0.036233,0.024874,0.025217,0.002123,-0.016935,0.008394,0.008251,187954.5,204748.95,0.661595,0.358001,0.015914,0.042956,,0.018164,0.005623,-0.003996,-0.001555,23632.45,22976.5,23632.45,22786.9,23751.85,22786.9,1.162817,1.126308,0.986942,TREND_DOWN,10,-0.033445,0.929194,0.045572,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,TREND_UP,TREND_UP,TREND_UP,RANGE,TREND_DOWN,TREND_DOWN,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-05,NIFTY,23801.75,23807.3,23680.45,23696.3,51116.0,23307.835,23261.5075,23772.05,,55.5607,264.9505,23710.4098,23261.5075,22812.6052,0.038596,0.019218,0.021157,0.007217,-0.018433,0.008507,0.008101,176943.9,198157.2,0.540005,0.302318,0.055831,0.046566,,0.021649,0.008018,-0.001625,-0.001815,23762.75,23139.2,23762.75,22786.9,23762.75,22786.9,0.893433,0.931906,0.931906,TREND_DOWN,10,-0.032216,0.926569,0.045655,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,TREND_UP,TREND_UP,TREND_UP,TREND_DOWN,RANGE,TREND_DOWN,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-06,NIFTY,23761.95,23773.55,23556.25,23603.35,55302.0,23358.95,23270.1,23765.834,24053.1606,53.1266,261.5469,23737.871,23270.1,22802.329,0.040204,0.004039,0.022135,0.007334,-0.011728,0.008424,0.008098,154925.7,187837.15,0.143548,0.318722,0.056544,0.029825,,0.018795,0.008896,-0.000191,-0.002209,23807.3,23222.0,23807.3,22786.9,23807.3,22786.9,0.651546,0.800127,0.800127,TREND_DOWN,10,-0.029242,0.919409,0.044405,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-07,NIFTY,23649.5,23694.5,23443.2,23559.95,94840.0,23432.03,23293.8,23754.411,24028.3056,51.9815,260.815,23769.8077,23293.8,22817.7923,0.04087,0.003313,0.032012,0.020532,3.8e-05,0.007155,0.007303,140214.1,178640.05,0.114648,0.527997,0.173176,9.9e-05,,0.013746,0.011453,0.001115,-0.002332,23807.3,23222.0,23807.3,22786.9,23807.3,22786.9,0.577396,0.757595,0.757595,TREND_DOWN,10,-0.03243,0.926627,0.04135,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_UP,RANGE,TREND_UP,RANGE,TREND_UP,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-10,NIFTY,23543.8,23568.6,23316.3,23381.6,68065.0,23474.465,23304.0775,23736.522,24007.5444,47.4549,260.2067,23778.3449,23304.0775,22829.8101,0.040703,0.00088,0.018484,0.008869,-0.006421,0.007838,0.007514,114623.9,172308.35,0.027927,0.295848,0.072752,0.016313,,0.010416,0.011815,0.002304,-0.002362,23807.3,23222.0,23807.3,22857.65,23807.3,22786.9,0.272681,0.55173,0.582811,TREND_DOWN,10,-0.035423,0.931927,0.044899,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-11,NIFTY,23383.55,23390.05,22986.65,23071.8,87766.0,23465.335,23297.0075,23708.815,23985.9578,40.8074,270.4348,23780.607,23297.0075,22813.408,0.041516,-0.028116,-0.003942,-0.006091,-0.016287,0.008702,0.008106,93588.2,169507.15,1.0,0.059351,0.045642,0.040239,,-0.000233,0.008882,0.001892,-0.003145,23807.3,23316.3,23807.3,22976.5,23807.3,22786.9,-0.497963,0.114709,0.279204,TREND_DOWN,10,-0.022723,0.896537,0.037975,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
2025-02-12,NIFTY,23050.8,23144.7,22798.35,23045.25,132065.0,23444.91,23283.68,23680.371,23966.5078,40.2865,275.8573,23779.4527,23283.68,22787.9073,0.042585,-0.027475,-0.008785,-0.011434,-0.020122,0.008583,0.008037,79870.6,167550.5,1.0,0.138151,0.088088,0.050052,,-0.009553,0.005881,0.000953,-0.003857,23807.3,22986.65,23807.3,22986.65,23807.3,22786.9,0.071407,0.071407,0.253185,TREND_DOWN,10,-0.021705,0.892099,0.031551,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
2025-02-13,NIFTY,23055.75,23235.5,22992.2,23031.4,82593.0,23397.21,23275.09,23646.831,23944.4883,39.9997,273.5318,23781.9717,23275.09,22768.2083,0.043556,-0.024232,-0.020291,-0.007404,-0.01364,0.007495,0.007979,79238.8,160760.75,1.0,0.386736,0.058611,0.034246,,-0.015202,0.001638,0.000214,-0.005007,23773.55,22798.35,23807.3,22798.35,23807.3,22786.9,0.238977,0.230983,0.239612,TREND_DOWN,10,-0.039368,0.937448,0.049092,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2025-02-14,NIFTY,23096.45,23133.7,22774.85,22929.25,109312.0,23341.92,23254.315,23611.86,23921.6806,37.8589,279.626,23781.7173,23254.315,22726.9127,0.04536,-0.02677,-0.023546,-0.017798,-0.040908,0.007524,0.007879,90170.0,158040.75,1.0,0.422287,0.143682,0.110568,,-0.021199,-0.003846,-0.001695,-0.006001,23694.5,22798.35,23807.3,22798.35,23807.3,22786.9,0.146069,0.129739,0.139504,TREND_DOWN,10,-0.035324,0.930496,0.049238,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2025-02-17,NIFTY,22809.9,22974.2,22725.45,22959.5,92954.0,23301.765,23251.0575,23578.67,23899.0256,38.9017,277.4206,23784.8597,23251.0575,22717.2553,0.045916,-0.018053,-0.017189,-0.00283,-0.052118,0.007535,0.007283,91101.8,143266.75,0.874637,0.329558,0.025039,0.147463,,-0.024947,-0.007357,-0.002275,-0.00665,23568.6,22774.85,23807.3,22774.85,23807.3,22774.85,0.23263,0.178846,0.178846,TREND_DOWN,10,-0.038191,1.0,0.047272,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,RANGE,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,TREND_DOWN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
